id,name,class,mass,pos_x,pos_y,pos_z,vel_x,vel_y,vel_z
0,Sun,STA,1.988469999999999977e+30,0,0,0,0,0,0
1,Mercury,PLA,3.301011000000000295e+23,-0.1407280797108346471,-0.4439009580270337207,-0.02334555919971203,0.02116915795266632871,-0.007098071516153788181,-0.002522865185944705817
2,Venus,PLA,4.86732000000000012e+24,-0.7186302169204941137,-0.02250380069428590743,0.04117184128636829782,0.0005135391136806538971,-0.02030639336837833375,-0.0003071783282719974407
3,Earth,PLA,5.972185999999999813e+24,-0.1685246483858766631,0.9687833049070307956,-4.120490278477268624e-06,-0.01723415470267592939,-0.003007696701791743449,3.562616065704365793e-08
4,Mars,PLA,6.416928000000000461e+23,1.390361066087240305,-0.02100972123734164837,-0.03461801385164816475,0.0007479371915018697596,0.01518650308644078212,0.0002997572342804204724
5,Jupiter,PLA,1.898129999999999971e+27,4.003460488693536767,2.93535318788787869,-0.1018230443988181327,-0.00456163622382308679,0.006444286938095176651,7.543512831172022911e-05
6,Saturn,PLA,5.683191000000000214e+26,6.408556035505921677,6.568042752621961355,-0.3691272880681217838,-0.004289985914955479936,0.003891487824679270516,0.0001025964912806820206
7,Uranus,PLA,8.681012999999999361e+25,14.43051755765633715,-13.73565774412954532,-0.2381291358891927112,0.002678444171468907092,0.00267240570769687602,-2.474804657761788589e-05
8,Neptune,PLA,1.024096000000000037e+26,16.81075586572798386,-24.99265128053396268,0.1272718567577856563,0.002579116188631168198,0.001776802273742378877,-9.570205639009878029e-05
9,Ceres,DWA,9.47e+20,-2.377530298725977431,0.8007772245189904714,0.4628376139249159027,-0.003605471293678001472,-0.01057897748104472298,0.0003379836392649748647
10,Pluto,DWA,1.302933000000000072e+22,-9.876867450615563371,-27.95802121799911788,5.850814618317932592,0.00303902029219648654,-0.001529923990772284401,-0.0007172341826176346349
11,Eris,DWA,1.671600000000000105e+22,88.39402746561194135,30.76494553347009386,-26.09500133419179591,-0.0002035710414381700539,0.0009756179210511904155,0.0008689604485536539654
12,Haumea,DWA,4.006e+21,-45.99000327629401852,-5.119436419665051474,22.38543361681793797,0.0004769107251353087726,-0.002062556779540393719,0.0003680433751357999462
13,Makemake,DWA,3.1e+21,-43.57811703521590374,11.47939915654538545,24.91810534240176267,-0.0007088347070966327483,-0.002107163581712089093,0.0001686922275899594825
14,Gonggong,DWA,1.75e+21,70.26595372441147447,-44.22674433640430181,-7.769414155404931854,0.001352016656309981777,0.0006420117697730254357,0.000666226732490898246
15,Quaoar,DWA,1.4e+21,-16.76771201895694219,-39.83118065983969558,5.159181937954206987,0.002431318256278908272,-0.0008914041029595661577,0.0001777498760872161143
16,Sedna,DWA,1.194e+21,61.95164483282864865,63.87559068731142986,-18.58921854685501529,-0.002267794172051244405,0.0009021562826681641441,0.0001246146804006463841
17,Orcus,DWA,6.348e+20,-35.13848650058376677,28.70237502244759753,-13.44997914300903474,-0.001425030983543127674,-0.001634344332487992464,-0.000517231512075241092
18,Salacia,DWA,4.922e+20,37.50671203050716684,-15.02892635355107842,15.21482861206175663,0.0009798936644873023315,0.002317086944831156341,0.0006102369738070336034
