e,a,i,om,w,ma,epoch,H,albedo,diameter,mass,class,name,central_body
0.2056302515978038,0.3870982252718477,7.005014362233553,48.33053877672862,29.12427943500334,172.7497133441682,2451544.5,,,,3.301011e+23,PLA,Mercury,Sun
0.006755697268576816,0.723326849675607,3.394589632757466,76.6783751109416,55.18541504725159,49.31425178886323,2451544.5,,,,4.86732e+24,PLA,Venus,Sun
0.01704239718110438,1.000371833994387,0.0002668809336274974,163.9748712430063,297.7671795415902,358.1891404240206,2451544.5,,,,5.972186e+24,PLA,Earth,Sun
0.09331460654227948,1.52367818431121,1.84987660922101,49.56199966373916,286.5373577566327,19.09450886879797,2451544.5,,,,6.416928e+23,PLA,Mars,Sun
0.04892305962953223,5.205108585205607,1.304655711046047,100.4888615724618,275.1197059498091,18.72492361720237,2451544.5,,,,1.89813e+27,PLA,Jupiter,Sun
0.05559928887329644,9.581451990534042,2.48436877980734,113.6930130794106,335.9006492553988,320.3798737896323,2451544.5,,,,5.683191e+26,PLA,Saturn,Sun
0.04439336258879121,19.22994588008584,0.7723604869115734,73.96006633963485,96.61122696445274,142.9075250073773,2451544.5,,,,8.681013e+25,PLA,Uranus,Sun
0.01127490587199606,30.10071183142183,1.764331194766304,131.8103417756993,266.1154512224139,267.2859842843583,2451544.5,,,,1.024096e+26,PLA,Neptune,Sun
0.07837505574078478,2.766494289595762,10.58336066935531,80.49436497808077,73.92278720711738,6.06962272674846,2451544.5,,,,9.47e+20,DWA,Ceres,Sun
0.2478482115971986,39.49997752044804,17.16589434508214,110.2442079232703,115.1485942973152,14.09538826901083,2451544.5,,,,1.302933e+22,DWA,Pluto,Sun
0.4324893275429698,68.14110814267242,43.74052540406745,36.12850366731349,150.8441876792889,194.2904444149602,2451544.5,,,,1.6716e+22,DWA,Eris,Sun
0.1999204196417531,42.90928540245435,28.20617680360097,121.9334694579249,240.5902826888344,189.5939049055537,2451544.5,,,,4.006e+21,DWA,Haumea,Sun
0.1645261602011544,45.37185820992342,29.00017239359648,79.27519362277931,296.2794763895403,139.7200017192512,2451544.5,,,,3.1e+21,DWA,Makemake,Sun
0.4995647279317015,67.05062113934007,30.7144964031353,336.8754551949107,206.9397326569389,94.20624691864863,2451544.5,,,,1.75e+21,DWA,Gonggong,Sun
0.03951061841904465,43.13282554756313,8.005103522669422,189.0802722816681,163.7883770627359,258.9505945365625,2451544.5,,,,1.4e+21,DWA,Quaoar,Sun
0.8609555846997762,549.7736365078977,11.92524533320472,144.316323485897,310.7335661564293,357.9008591258582,2451544.5,,,,1.194e+21,DWA,Sedna,Sun
0.2257703146789571,39.26156129861829,20.53929539813141,268.4571870769136,73.74546959333246,150.0454766121651,2451544.5,,,,6.348e+20,DWA,Orcus,Sun
0.1027425989437525,42.23599017472782,23.94643215125356,280.1821313025243,312.0563639072815,96.75503347510237,2451544.5,,,,4.922e+20,DWA,Salacia,Sun
0.06476694128611285,0.002548289534928953,5.240010829674768,123.9837028145578,308.1359034620368,140.7402571142365,2451544.5,,,,7.345811e+22,SAT,Luna,Earth
0.01541574629185453,6.268997268597137e-05,26.0513446988607,84.8106042543021,342.3766042007272,345.8103207628809,2451544.5,,,,1.061919e+16,SAT,Phobos,Mars
0.0002419714130280285,0.000156812977409939,27.57017394957633,83.66378701785975,190.2419328274697,244.1589505052237,2451544.5,,,,1440690000000000.0,SAT,Deimos,Mars
0.003654750865278147,0.002821787106068711,2.212672615872272,336.8521281986851,62.1804689442329,237.3913446588637,2451544.5,,,,8.929676e+22,SAT,Io,Jupiter
0.009470423668243575,0.004484929348087488,1.790939298819423,332.6264490462856,255.7895429880636,293.5885929198891,2451544.5,,,,4.798588e+22,SAT,Europa,Jupiter
0.001318107368367324,0.007156339660134583,2.214135411487959,343.1731565490069,316.739571330784,254.9524711989243,2451544.5,,,,1.481483e+23,SAT,Ganymede,Jupiter
0.007432936950917374,0.01258560599739629,2.016913882947653,337.9432608177467,16.3199039397887,74.14074191204433,2451544.5,,,,1.075664e+23,SAT,Callisto,Jupiter
0.006166722824037792,0.001216228069736076,2.448223303290807,330.5389078916568,108.6845456460688,331.2826928611743,2451544.5,,,,2.465636e+18,SAT,Amalthea,Jupiter
0.1662610984321755,0.07600408808363625,30.24671342505141,64.19105200178284,321.0768224588907,77.57233402772418,2451544.5,,,,2.270693e+18,SAT,Himalia,Jupiter
